"Россия победила",attack 
"Украина победила",attack 
"Украина что там где то там убила",attack 
"Украина что-то там где-то там",attack 
"Украина что-то там где-то там",attack 
"Украина что-то там где-то там",attack 
"Украина и россиия что-то там где-то там сделали непноятно",attack 
"Украина что-то там где-то взровала",attack 
"Украина сделала там что-то где-то",attack "Украина сделала там что-то где-то",neutral 
"Украина сделала там что-то где-то",attack 
"Частные российские компании получают предложения от Microsoft о продлении лицензии на ее софт",neutral 
"Привет как они",neutral 
"Текст для анализа",attack 
"ААААА",neutral 
"Привет как дела",neutral 
"ВСУ обстреляли центр Донецка - мэр",neutral 
"Признаки готовящегося контрнаступления ВСУ видны с воздуха, об этом и об ударах российских ВКС по украинским войскам рассказали в уникальной части — отряде разведки БАРС «Каскад».

Разгром штаба «Азова» (признан в России террористической организацией), успешные удары по кораблям и инфраструктуре ПВО — лишь часть успехов БАРС «Каскад».

Штаб «Азова» находился под городом Запорожье, украинские военные всё время меняли локацию, но не смогли скрыться от беспилотников «Каскада».",attack 
"В Гомеле перед школьниками провели еще один показательный арест подростка. Ему угрожают 15 годами тюрьмы

Молодого человека подозревают в незаконном обороте наркотиков. А арестовать его решили публично, собрав в актовом зале отделения так называемой милиции школьников. «Прокурор» заявил, что арестованному грозит до 15 лет колонии.

«Силовики» считают, что такие показательные аресты «имеют огромный профилактический эффект».",attack 
"«Всемирный день охраны труда» – новая работа Владимира Цеслера

Когда все понятно практически без слов.",attack 
"Украина что-то там где-то там",attack 
"Лукашенко внезапно выяснил, что Украина не собирается нападать на Беларусь 

Во время визита в Гомельскую область диктатор заявил местным, что "больше чем они не хочет воевать" (https://bit.ly/449fQOb).

"Никто на нас нападать не собирается. В том числе украинцы. Да и западники, с которыми я встречаюсь, они мне говорят: "Александр Григорьевич, господин президент, к вам ни украинцы, ни поляки не собираются". Может, и не собираются. Но нам надо быть готовыми ко всему", - заявил он.",attack 
"Шизоидный спикер Сил обороны Таврического направления А. Дмитрашковский выступил с клоунским заявлением об ударе по нефтебазе в Севастополе

"Собака любит мясо, ворона любит сыр, а я люблю "бавовну" с доставкою на Крым", - прочитал свой стих Дмитрашковский.",attack 
